Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,,,,
ID,Backlog Priority,Release Version,Work Item Type,Title,Effort,State,Tags,Iteration Path,Area Path,Severity,Created Date,Closed Date
33179,258,3.0.0,Product Backlog Item,(3.0.0) DOCUMENTATION: Assistance for EDG 3.0,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 91,\Activities,,25/09/2015 2:34 PM,21/10/2015 1:46 PM
30689,280,3.0.0,Product Backlog Item,(3.0.0) 3E INTEGRATION: Base workflow template for 3e integration - (Additional changes),2,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 87,\Activities,,04/08/2015 12:04 PM,13/08/2015 10:30 AM
28884,330,3.0.0,Product Backlog Item,Implementation and UX Design Meeting for Repository,8,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,24/06/2015 11:45 AM,07/07/2015 9:06 AM
31285,360,3.0.0,Product Backlog Item,*(DEV) Training: Advanced MVVM/WPF,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 87,\Activities\Dev,,18/08/2015 9:48 AM,19/08/2015 11:41 AM
28120,434,3.0.0,Bug,(3.0.0) Solution Manager: Ability to attempt check in while offline not disabled,1,Done,,\3.0.0\3.0 TPR\Sprint 83,\Defects,3 - Medium,10/06/2015 7:48 AM,16/06/2015 1:50 PM
22624,446,3.0.0,Bug,(3.0.0) DEFECT: API does not handle breaking text files properly,8,Done,,\3.0.0\3.0 Alpha\Sprint 76,\Defects,2 - High,03/03/2015 10:43 AM,13/03/2015 3:45 PM
31425,455,3.0.0,Bug,Solution manager crashes and cannot restart if repository offline,1,Done,PM-PriorityHigh,\3.0.0\3.0 TPR\Sprint 88,\Activities,2 - High,19/08/2015 5:23 PM,26/08/2015 2:44 PM
22579,456,3.0.0,Product Backlog Item,DEV: Training for MVVM Design Pattern,8,Done,Analyzed; Capitalize,\3.0.0\3.0 Alpha\Sprint 76,\Activities\Dev,,27/02/2015 1:52 PM,17/03/2015 8:53 AM
28044,466,3.0.0,Bug,(3.0.0) Solution Manager: Right-Click can bring up incorrect Workflow Properties dialog,3,Done,,\3.0.0\3.0 TPR\Sprint 83,\Defects,2 - High,08/06/2015 2:39 PM,19/06/2015 10:03 AM
31268,498,2.6,Product Backlog Item,DMS Worksite Plugin 2.1.3 Testing,3,Done,,\3.0.0\3.0 TPR\Sprint 88,\Defects,,18/08/2015 8:56 AM,02/09/2015 3:30 PM
23345,499,3.0.0,Product Backlog Item,*QA - Visual Designer with CodedUI demo,2,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 76,\Activities\Dev,,17/03/2015 10:25 AM,17/03/2015 3:47 PM
21836,499,3.0.0,Product Backlog Item,"*Setup Worldox Server, Part 1",3,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 74,\Activities\Dev,,10/02/2015 8:28 AM,18/02/2015 8:56 AM
31269,509,2.6,Product Backlog Item,DMS Worksite Plugin 2.1.3 Release,2,Done,,\3.0.0\3.0 TPR\Sprint 88,\Defects,,18/08/2015 8:58 AM,03/09/2015 8:11 AM
32254,516,3.0.0,Product Backlog Item,Update Dev WF servers with latest build,2,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 89,\Activities,,03/09/2015 10:41 AM,11/09/2015 9:40 AM
27876,517,3.0.0,Product Backlog Item,* (3.0.0) WORKFLOW ENGINE: Provide support to JT to install on Laptop,2,Done,Analyzed,\3.0.0\3.0 Alpha\Sprint 82 (ALPHA as deliverable),\Activities,,03/06/2015 2:06 PM,08/06/2015 3:13 PM
31252,520,3.0.0,Product Backlog Item,* DEV: API->CustomException class,0.5,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 87,\Activities\Dev,,17/08/2015 3:23 PM,20/08/2015 12:53 PM
21827,521,3.0.0,Product Backlog Item,*Create/Configure 3E API Test Enviroment,3,Done,Patch - Latham,\3.0.0\3.0 Alpha\Sprint 74,\Activities\Dev,,09/02/2015 5:35 PM,10/02/2015 8:59 AM
22135,524,3.0.0,Product Backlog Item,DEV - Silver Training - David - Part 2,1,Done,,\3.0.0\3.0 Alpha\Sprint 75,\Activities\Dev,,19/02/2015 9:36 AM,24/02/2015 3:55 PM
21825,544,3.0.0,Product Backlog Item,*Training and Support of QA-EPAM team members - Routine task throughout sprint,8,Done,,\3.0.0\3.0 Alpha\Sprint 74,\Activities\Dev,,09/02/2015 5:23 PM,17/02/2015 3:31 PM
22590,579,3.0.0,Product Backlog Item,DEV: GOAL: Identify code for mocking,3,Done,Analyzed; Capitalize,\3.0.0\3.0 Alpha\Sprint 80,\Activities\Dev,,02/03/2015 10:32 AM,06/05/2015 3:15 PM
