Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,
ID,Work Item Type,Tags,Title,Effort,State,Iteration Path,Area Path,Severity,Created Date
32485,Bug,PM-PriorityHigh,(3.0.0) SOLUTION MANAGER: Conflict Indicator not triggered,3,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,08/09/2015 10:21 AM
32572,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Link to online help,0.5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,10/09/2015 11:49 AM
32573,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: About screen,2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,10/09/2015 11:50 AM
32574,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: UX Cleanup,2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,10/09/2015 11:54 AM
38506,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Verify defects,0,Done,\3.0.0\3.0 Beta,\Solution Manager,,14/12/2015 10:12 AM
32581,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Check-out validation on conflicts,2,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,,10/09/2015 1:38 PM
32595,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: TESTING: Limited Regression Testing,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager\Testing,,10/09/2015 4:11 PM
32596,Product Backlog Item,Capitalize,(3.0.0) Sprint 34 - Sanity Testing of EDG 3.0,2,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager\Testing,,10/09/2015 4:11 PM
32597,Product Backlog Item,Capitalize,(3.0.0) Sprint 35 - Sanity Testing of EDG 3.0,2,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager\Testing,,10/09/2015 4:13 PM
38477,Product Backlog Item,Capitalize,"* [AUTOMATION] Write tests for Variable Editor, priority = 1",3,Done,\3.0.0\3.0 Beta\Sprint 96,\Solution Manager,,11/12/2015 11:10 AM
38302,Product Backlog Item,Beta,~~(3.0.0) Repository Explorer: Implement batch operations to improve performance,13,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager,,09/12/2015 11:04 AM
38301,Product Backlog Item,Capitalize,SPIKE: Investigate enabling 'Option Strict' in Solution Manager and Visual Designer,2,Done,\3.0.0\3.0 Beta\Sprint 96,\Solution Manager,,09/12/2015 11:01 AM
38300,Product Backlog Item,,~ (3.0.0) Repository Explorer: Implement UX for enhanced - Context menu,8,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,09/12/2015 10:59 AM
38299,Product Backlog Item,,~ (3.0.0) Repository Explorer: Implement Toolbar,8,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,09/12/2015 10:58 AM
38273,Product Backlog Item,Capitalize,~ (3.0.0) DEV: Include latest version of Workflow Designer libraries in Solution Manager,2,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,08/12/2015 9:43 AM
32606,Product Backlog Item,Capitalize,(3.0.0) Smoke Testing of Sprint 32,1,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,10/09/2015 4:26 PM
32607,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: TESTING: Smoke Testing of Sprint 33,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager\Testing,,10/09/2015 4:27 PM
32608,Product Backlog Item,Capitalize,(3.0.0) Smoke Testing of Sprint 33,2,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager\Testing,,10/09/2015 4:27 PM
38151,Product Backlog Item,Beta,~~(3.0.0) Repository Explorer: Implement UX for enhanced repository communication,13,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager,,03/12/2015 9:55 AM
38098,Bug,PM-PriorityLow,(3.0.0) SOLUTION MANAGER: The caption of editor window doesn`t change in case of renaming workflow/component via Properties,3,Done,\3.0.0\3.0 Beta\Sprint 96,\Solution Manager,3 - Medium,02/12/2015 10:09 AM
37934,Product Backlog Item,,* End-to-end testing support,5,Done,\3.0.0\3.0 Beta\Sprint 95,\Solution Manager,,01/12/2015 6:37 AM
37743,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Enhance Repository Explorer,13,Done,\3.0.0\3.0 Beta\Sprint 95,\Solution Manager,,25/11/2015 10:28 AM
32627,Bug,PM-PriorityMed,* (3.0.0)Solution Manager:  Following exception is appeared in case when user move component from workflow to another workflow(many times),3,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,2 - High,11/09/2015 12:08 PM
